"int_no","ranking"
931,1
481,2
928,3
601,4
633,5
778,6
938,7
863,8
1092,9
906,10
444,11
386,12
493,13
6736,14
8256,15
317,16
708,17
356,18
602,19
842,20
8863,21
1249,22
6044,23
1093,24
428,25
886,26
190,27
629,28
361,29
316,30
9028,31
419,32
628,33
443,34
128,35
805,36
910,37
1266,38
539,39
1086,40
421,41
8830,42
868,43
374,44
846,45
1064,46
533,47
914,48
1633,49
904,50
284,51
478,52
344,53
1168,54
416,55
1090,56
1089,57
648,58
858,59
887,60
593,61
286,62
410,63
873,64
47,65
15748,66
1031,67
924,68
1029,69
7149,70
1375,71
441,72
1138,73
330,74
797,75
502,76
4481,77
7195,78
417,79
411,80
326,81
144,82
406,83
538,84
152,85
345,86
1283,87
872,88
1005,89
758,90
460,91
712,92
517,93
1043,94
642,95
1757,96
388,97
368,98
888,99
1020,100
546,101
933,102
160,103
1520,104
432,105
109,106
1176,107
1151,108
507,109
2190,110
12703,111
1047,112
1120,113
547,114
1213,115
384,116
420,117
367,118
145,119
782,120
468,121
36,122
266,123
1046,124
1104,125
738,126
923,127
142,128
13332,129
543,130
1058,131
308,132
1117,133
1198,134
474,135
130,136
281,137
1685,138
5843,139
337,140
366,141
1034,142
1278,143
1070,144
352,145
149,146
897,147
298,148
425,149
6207,150
501,151
9146,152
506,153
171,154
1189,155
497,156
467,157
291,158
1073,159
542,160
364,161
1016,162
485,163
108,164
631,165
16918,166
16661,167
745,168
704,169
1071,170
16660,171
10475,172
1599,173
8979,174
1671,175
1069,176
1139,177
8845,178
351,179
1052,180
211,181
165,182
558,183
3443,184
402,185
8768,186
427,187
346,188
641,189
4852,190
412,191
219,192
1048,193
535,194
1677,195
445,196
325,197
915,198
461,199
1040,200
422,201
685,202
1101,203
891,204
540,205
137,206
668,207
357,208
843,209
912,210
13284,211
348,212
163,213
884,214
544,215
1167,216
572,217
8888,218
2,219
1510,220
545,221
894,222
1039,223
110,224
606,225
1161,226
699,227
8852,228
334,229
570,230
267,231
1102,232
1528,233
1284,234
295,235
385,236
305,237
362,238
1761,239
221,240
1622,241
16042,242
175,243
313,244
1042,245
6823,246
283,247
378,248
285,249
342,250
353,251
1137,252
9462,253
2232,254
1002,255
1310,256
882,257
711,258
347,259
5229,260
14713,261
9452,262
335,263
218,264
588,265
358,266
1053,267
1282,268
508,269
363,270
561,271
9304,272
158,273
847,274
1251,275
302,276
371,277
5914,278
1121,279
154,280
293,281
414,282
1141,283
838,284
885,285
1182,286
1242,287
595,288
8851,289
127,290
333,291
1022,292
1008,293
549,294
296,295
9455,296
857,297
1269,298
477,299
494,300
951,301
413,302
147,303
390,304
484,305
3527,306
527,307
164,308
355,309
1041,310
1204,311
500,312
9034,313
713,314
439,315
709,316
331,317
17249,318
1206,319
17141,320
870,321
16914,322
341,323
1239,324
7,325
1072,326
101,327
377,328
336,329
1030,330
869,331
1707,332
120,333
100,334
13288,335
1210,336
442,337
1588,338
297,339
898,340
1197,341
488,342
1061,343
1524,344
15743,345
1379,346
908,347
1281,348
1131,349
492,350
1128,351
1313,352
373,353
555,354
135,355
53,356
896,357
16913,358
486,359
1000,360
1118,361
1425,362
1392,363
8747,364
504,365
193,366
8890,367
17000,368
1300,369
407,370
550,371
376,372
307,373
1521,374
13283,375
1065,376
8884,377
1246,378
703,379
287,380
50,381
1181,382
920,383
1241,384
429,385
1207,386
1224,387
1055,388
424,389
1088,390
306,391
1592,392
13660,393
618,394
1146,395
290,396
150,397
9183,398
1103,399
12453,400
599,401
1049,402
700,403
292,404
1068,405
514,406
10194,407
553,408
13291,409
905,410
1004,411
157,412
1394,413
651,414
585,415
359,416
1132,417
288,418
1463,419
