"int_no","ranking"
601,1
1092,2
386,3
419,4
317,5
421,6
863,7
1249,8
284,9
410,10
374,11
428,12
602,13
356,14
481,15
931,16
8256,17
342,18
128,19
444,20
316,21
1064,22
533,23
593,24
1266,25
873,26
1089,27
1093,28
906,29
1138,30
708,31
406,32
904,33
539,34
778,35
1090,36
493,37
411,38
1046,39
211,40
782,41
1117,42
8863,43
190,44
1031,45
517,46
367,47
165,48
758,49
345,50
385,51
1042,52
286,53
6044,54
417,55
1198,56
805,57
886,58
109,59
1029,60
1047,61
858,62
1058,63
797,64
347,65
868,66
1685,67
152,68
351,69
1633,70
1086,71
1283,72
738,73
846,74
629,75
1043,76
1020,77
543,78
1101,79
443,80
1073,81
47,82
8830,83
1069,84
712,85
633,86
337,87
384,88
910,89
642,90
872,91
798,92
402,93
1176,94
628,95
441,96
914,97
1161,98
416,99
884,100
1071,101
8845,102
290,103
1120,104
1104,105
281,106
420,107
1278,108
2,109
1611,110
595,111
366,112
364,113
538,114
1151,115
12703,116
388,117
648,118
36,119
545,120
570,121
160,122
293,123
3527,124
938,125
144,126
1070,127
330,128
1040,129
699,130
8768,131
1034,132
307,133
888,134
842,135
346,136
547,137
7195,138
897,139
10475,140
506,141
221,142
6736,143
588,144
1030,145
7149,146
1520,147
887,148
171,149
461,150
4481,151
924,152
365,153
507,154
341,155
362,156
933,157
1005,158
164,159
843,160
1039,161
267,162
1168,163
145,164
894,165
920,166
478,167
12785,168
497,169
641,170
15748,171
4852,172
912,173
500,174
502,175
368,176
923,177
149,178
1131,179
1053,180
572,181
363,182
1599,183
425,184
1000,185
16660,186
101,187
928,188
1213,189
142,190
1016,191
1189,192
1757,193
326,194
16918,195
108,196
1165,197
908,198
1282,199
882,200
1370,201
540,202
1041,203
760,204
1182,205
333,206
1659,207
8888,208
1707,209
918,210
1052,211
1102,212
432,213
1141,214
905,215
308,216
135,217
15744,218
9146,219
352,220
703,221
1677,222
1207,223
704,224
335,225
599,226
1493,227
838,228
1088,229
266,230
6207,231
1139,232
361,233
175,234
4426,235
147,236
885,237
8852,238
336,239
1394,240
870,241
371,242
1121,243
542,244
219,245
5843,246
1103,247
1242,248
1375,249
1292,250
1281,251
297,252
8891,253
325,254
709,255
1251,256
501,257
1197,258
857,259
422,260
146,261
304,262
16661,263
871,264
5914,265
1049,266
99,267
13332,268
9183,269
594,270
412,271
331,272
1128,273
359,274
53,275
1671,276
3443,277
8979,278
127,279
2232,280
7,281
271,282
1761,283
1692,284
9455,285
1313,286
50,287
9304,288
668,289
288,290
334,291
299,292
1210,293
1061,294
1146,295
1137,296
514,297
474,298
218,299
1396,300
9458,301
305,302
1310,303
130,304
414,305
13,306
16042,307
1002,308
8889,309
745,310
3308,311
901,312
6823,313
427,314
1239,315
